"alias","pop","parent","dims","method","args"
"singlet","singlet+","root","FSC-A,FSC-H","singletGate","prediction_level=0.999"
"viable","viable-","singlet","ViViD","flowClust.1d","neg=1,pos=2"
"lymph","lymph+","viable","FSC-A,SSC-A","flowClust.2d","K=2,target=c(5e4, 2.5e4)"
"cd3","cd3+","lymph","cd3","mindensity",""
"cd4_pos","cd4+","cd3","cd4","flowClust.1d",""
"cd4_neg","cd4-","cd3","cd4","flowClust.1d",""
"cd8gate_pos","cd8+","cd3","cd8","flowClust.1d",""
"cd8gate_neg","cd8-","cd4_neg","cd8","flowClust.1d",""
"cd4","cd4+cd8-","cd3","cd4,cd8","refGate","cd4_pos:cd8gate_pos"
"cd8","cd4-cd8+","cd3","cd4,cd8","refGate","cd4_pos:cd8gate_neg"
"TNFa0.995","TNFa+","cd4","TNFa","flowClust.1d","neg=3,pos=0,quantile=0.995"
"TNFa0.995","TNFa+","cd8","TNFa","flowClust.1d","neg=3,pos=0,quantile=0.995"
"TNFa0.999","TNFa+","cd4","TNFa","flowClust.1d","neg=3,pos=0,quantile=0.999"
"TNFa0.999","TNFa+","cd8","TNFa","flowClust.1d","neg=3,pos=0,quantile=0.999"
"TNFa0.9999","TNFa+","cd4","TNFa","flowClust.1d","neg=3,pos=0,quantile=0.9999"
"TNFa0.9999","TNFa+","cd8","TNFa","flowClust.1d","neg=3,pos=0,quantile=0.9999"
"IFNg0.995","IFNg+","cd4","IFNg","flowClust.1d","neg=3,pos=0,quantile=0.995"
"IFNg0.995","IFNg+","cd8","IFNg","flowClust.1d","neg=3,pos=0,quantile=0.995"
"IFNg0.999","IFNg+","cd4","IFNg","flowClust.1d","neg=3,pos=0,quantile=0.999"
"IFNg0.999","IFNg+","cd8","IFNg","flowClust.1d","neg=3,pos=0,quantile=0.999"
"IFNg0.9999","IFNg+","cd4","IFNg","flowClust.1d","neg=3,pos=0,quantile=0.9999"
"IFNg0.9999","IFNg+","cd8","IFNg","flowClust.1d","neg=3,pos=0,quantile=0.9999"
"IL20.995","IL2+","cd4","IL2","flowClust.1d","neg=3,pos=0,quantile=0.995"
"IL20.995","IL2+","cd8","IL2","flowClust.1d","neg=3,pos=0,quantile=0.995"
"IL20.999","IL2+","cd4","IL2","flowClust.1d","neg=3,pos=0,quantile=0.999"
"IL20.999","IL2+","cd8","IL2","flowClust.1d","neg=3,pos=0,quantile=0.999"
"IL20.9999","IL2+","cd4","IL2","flowClust.1d","neg=3,pos=0,quantile=0.9999"
"IL20.9999","IL2+","cd8","IL2","flowClust.1d","neg=3,pos=0,quantile=0.9999"
"cd4:IFNg0.995/IL20.995","cd4 IFNg0.995/IL20.995 subsets","cd4","","polyFunctions","cd4/IFNg0.995:cd4/IL20.995"
"cd4:TNFa0.995/IFNg0.995/IL20.995","cd4 TNFa0.995/IFNg0.995/IL20.995 subsets","cd4","","polyFunctions","cd4/TNFa0.995:cd4/IFNg0.995:cd4/IL20.995"
"cd8:IFNg0.995/IL20.995","cd8 IFNg0.995/IL20.995 subsets","cd8","","polyFunctions","cd8/IFNg0.995:cd8/IL20.995"
"cd8:TNFa0.995/IFNg0.995/IL20.995","cd8 TNFa0.995/IFNg0.995/IL20.995 subsets","cd8","","polyFunctions","cd8/TNFa0.995:cd8/IFNg0.995:cd8/IL20.995"
"cd4:IFNg0.995/IL20.999","cd4 IFNg0.995/IL20.999 subsets","cd4","","polyFunctions","cd4/IFNg0.995:cd4/IL20.999"
"cd4:TNFa0.995/IFNg0.995/IL20.999","cd4 TNFa0.995/IFNg0.995/IL20.999 subsets","cd4","","polyFunctions","cd4/TNFa0.995:cd4/IFNg0.995:cd4/IL20.999"
"cd8:IFNg0.995/IL20.999","cd8 IFNg0.995/IL20.999 subsets","cd8","","polyFunctions","cd8/IFNg0.995:cd8/IL20.999"
"cd8:TNFa0.995/IFNg0.995/IL20.999","cd8 TNFa0.995/IFNg0.995/IL20.999 subsets","cd8","","polyFunctions","cd8/TNFa0.995:cd8/IFNg0.995:cd8/IL20.999"
"cd4:IFNg0.995/IL20.9999","cd4 IFNg0.995/IL20.9999 subsets","cd4","","polyFunctions","cd4/IFNg0.995:cd4/IL20.9999"
"cd4:TNFa0.995/IFNg0.995/IL20.9999","cd4 TNFa0.995/IFNg0.995/IL20.9999 subsets","cd4","","polyFunctions","cd4/TNFa0.995:cd4/IFNg0.995:cd4/IL20.9999"
"cd8:IFNg0.995/IL20.9999","cd8 IFNg0.995/IL20.9999 subsets","cd8","","polyFunctions","cd8/IFNg0.995:cd8/IL20.9999"
"cd8:TNFa0.995/IFNg0.995/IL20.9999","cd8 TNFa0.995/IFNg0.995/IL20.9999 subsets","cd8","","polyFunctions","cd8/TNFa0.995:cd8/IFNg0.995:cd8/IL20.9999"
"cd4:IFNg0.999/IL20.995","cd4 IFNg0.999/IL20.995 subsets","cd4","","polyFunctions","cd4/IFNg0.999:cd4/IL20.995"
"cd4:TNFa0.995/IFNg0.999/IL20.995","cd4 TNFa0.995/IFNg0.999/IL20.995 subsets","cd4","","polyFunctions","cd4/TNFa0.995:cd4/IFNg0.999:cd4/IL20.995"
"cd8:IFNg0.999/IL20.995","cd8 IFNg0.999/IL20.995 subsets","cd8","","polyFunctions","cd8/IFNg0.999:cd8/IL20.995"
"cd8:TNFa0.995/IFNg0.999/IL20.995","cd8 TNFa0.995/IFNg0.999/IL20.995 subsets","cd8","","polyFunctions","cd8/TNFa0.995:cd8/IFNg0.999:cd8/IL20.995"
"cd4:IFNg0.999/IL20.999","cd4 IFNg0.999/IL20.999 subsets","cd4","","polyFunctions","cd4/IFNg0.999:cd4/IL20.999"
"cd4:TNFa0.995/IFNg0.999/IL20.999","cd4 TNFa0.995/IFNg0.999/IL20.999 subsets","cd4","","polyFunctions","cd4/TNFa0.995:cd4/IFNg0.999:cd4/IL20.999"
"cd8:IFNg0.999/IL20.999","cd8 IFNg0.999/IL20.999 subsets","cd8","","polyFunctions","cd8/IFNg0.999:cd8/IL20.999"
"cd8:TNFa0.995/IFNg0.999/IL20.999","cd8 TNFa0.995/IFNg0.999/IL20.999 subsets","cd8","","polyFunctions","cd8/TNFa0.995:cd8/IFNg0.999:cd8/IL20.999"
"cd4:IFNg0.999/IL20.9999","cd4 IFNg0.999/IL20.9999 subsets","cd4","","polyFunctions","cd4/IFNg0.999:cd4/IL20.9999"
"cd4:TNFa0.995/IFNg0.999/IL20.9999","cd4 TNFa0.995/IFNg0.999/IL20.9999 subsets","cd4","","polyFunctions","cd4/TNFa0.995:cd4/IFNg0.999:cd4/IL20.9999"
"cd8:IFNg0.999/IL20.9999","cd8 IFNg0.999/IL20.9999 subsets","cd8","","polyFunctions","cd8/IFNg0.999:cd8/IL20.9999"
"cd8:TNFa0.995/IFNg0.999/IL20.9999","cd8 TNFa0.995/IFNg0.999/IL20.9999 subsets","cd8","","polyFunctions","cd8/TNFa0.995:cd8/IFNg0.999:cd8/IL20.9999"
"cd4:IFNg0.9999/IL20.995","cd4 IFNg0.9999/IL20.995 subsets","cd4","","polyFunctions","cd4/IFNg0.9999:cd4/IL20.995"
"cd4:TNFa0.995/IFNg0.9999/IL20.995","cd4 TNFa0.995/IFNg0.9999/IL20.995 subsets","cd4","","polyFunctions","cd4/TNFa0.995:cd4/IFNg0.9999:cd4/IL20.995"
"cd8:IFNg0.9999/IL20.995","cd8 IFNg0.9999/IL20.995 subsets","cd8","","polyFunctions","cd8/IFNg0.9999:cd8/IL20.995"
"cd8:TNFa0.995/IFNg0.9999/IL20.995","cd8 TNFa0.995/IFNg0.9999/IL20.995 subsets","cd8","","polyFunctions","cd8/TNFa0.995:cd8/IFNg0.9999:cd8/IL20.995"
"cd4:IFNg0.9999/IL20.999","cd4 IFNg0.9999/IL20.999 subsets","cd4","","polyFunctions","cd4/IFNg0.9999:cd4/IL20.999"
"cd4:TNFa0.995/IFNg0.9999/IL20.999","cd4 TNFa0.995/IFNg0.9999/IL20.999 subsets","cd4","","polyFunctions","cd4/TNFa0.995:cd4/IFNg0.9999:cd4/IL20.999"
"cd8:IFNg0.9999/IL20.999","cd8 IFNg0.9999/IL20.999 subsets","cd8","","polyFunctions","cd8/IFNg0.9999:cd8/IL20.999"
